date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:35:26	81421/81421	---M--	200	added ('OK')	application/pdf	etag:%22beeef5497dedda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m172.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m172.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:27	82328/82328	---M--	200	added ('OK')	application/pdf	etag:%220e8157dd5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m173.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m173.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:28	82854/82854	---M--	200	added ('OK')	application/pdf	etag:%220e8157dd5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m174.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m174.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:29	89142/89142	---M--	200	added ('OK')	application/pdf	etag:%22015477ed5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m175.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m175.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:30	86772/86772	---M--	200	added ('OK')	application/pdf	etag:%22015477ed5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m176.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m176.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:30	91922/91922	---M--	200	added ('OK')	application/pdf	etag:%22015477ed5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m177.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m177.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:31	92712/92712	---M--	200	added ('OK')	application/pdf	etag:%22015477ed5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m178.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m178.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:32	93386/93386	---M--	200	added ('OK')	application/pdf	etag:%22015477ed5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m179.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m179.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:33	86136/86136	---M--	200	added ('OK')	application/pdf	etag:%22015477ed5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m180.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m180.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:34	87685/87685	---M--	200	added ('OK')	application/pdf	etag:%22042787fd5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m181.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m181.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:35	96333/96333	---M--	200	added ('OK')	application/pdf	etag:%22042787fd5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m182.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m182.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:35	93444/93444	---M--	200	added ('OK')	application/pdf	etag:%2207a149cd5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m183.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m183.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:36	92058/92058	---M--	200	added ('OK')	application/pdf	etag:%2207a149cd5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m184.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m184.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:37	95293/95293	---M--	200	added ('OK')	application/pdf	etag:%2207a149cd5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m185.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m185.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
